symbol,identifier,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,yearLow,nearWKH,nearWKL,perChange365d,perChange30d,date365dAgo,date30dAgo,chartTodayPath,chart30dPath,chart365dPath,meta
MUTHOOTFIN,,EQ,3650,3755,3580,3730,3393.1,336.9,9.93,4743416,17585693044.24,3755,1756.05,0.6657789613848203,-112.40853050881239,109.79,13.99,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MUTHOOTFINEQN.svg,https://nsearchives.nseindia.com/30d/MUTHOOTFIN-EQ.svg,https://nsearchives.nseindia.com/365d/MUTHOOTFIN-EQ.svg,
JUBLFOOD,,EQ,604.95,622.95,599.3,615.6,573.5,42.1,7.34,15681619,9657054612.58,796.75,564.95,22.736115469093185,-8.965395167713954,1.18,3.36,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/JUBLFOODEQN.svg,https://nsearchives.nseindia.com/30d/JUBLFOOD-EQ.svg,https://nsearchives.nseindia.com/365d/JUBLFOOD-EQ.svg,
BDL,,EQ,1601,1633.4,1583.2,1611,1517.9,93.1,6.13,8771309,14143998901.77,2096.6,890,23.16130878565296,-81.01123595505618,63.08,7.24,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BDLEQN.svg,https://nsearchives.nseindia.com/30d/BDL-EQ.svg,https://nsearchives.nseindia.com/365d/BDL-EQ.svg,
NBCC,,EQ,110,116.6,108.31,114.44,108.98,5.46,5.01,37966431,4301596632.3,130.7,70.8,12.440703902065794,-61.63841807909605,26.82,1.58,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/NBCCEQN.svg,https://nsearchives.nseindia.com/30d/NBCC-EQ.svg,https://nsearchives.nseindia.com/365d/NBCC-EQ.svg,
IDEA,,EQ,10.51,11.08,10.47,10.95,10.47,0.48,4.58,1251394246,13615169396.48,11.08,6.12,1.1732851985559638,-78.92156862745097,49.05,23.62,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IDEAEQN.svg,https://nsearchives.nseindia.com/30d/IDEA-EQ.svg,https://nsearchives.nseindia.com/365d/IDEA-EQ.svg,
AMBER,,EQ,7110,7400,7099,7399.5,7122,277.5,3.9,388059,2838061735.32,8626,5235,14.21864131694876,-41.34670487106017,20.53,-10.47,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/AMBEREQN.svg,https://nsearchives.nseindia.com/30d/AMBER-EQ.svg,https://nsearchives.nseindia.com/365d/AMBER-EQ.svg,
PGEL,,EQ,540,582,537.05,580,559.45,20.55,3.67,15358796,8713966498.56,1054.2,465,44.98197685448682,-24.731182795698924,-8.06,1.63,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/PGELEQN.svg,https://nsearchives.nseindia.com/30d/PGEL-EQ.svg,https://nsearchives.nseindia.com/365d/PGEL-EQ.svg,
MANAPPURAM,,EQ,278,286.3,277.8,281.75,273.85,7.9,2.88,10797588,3047619213.0,298,148.68,5.453020134228188,-89.50094161958569,80.65,-1.97,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MANAPPURAMEQN.svg,https://nsearchives.nseindia.com/30d/MANAPPURAM-EQ.svg,https://nsearchives.nseindia.com/365d/MANAPPURAM-EQ.svg,
RVNL,,EQ,314.35,325.25,314.3,322.4,314.3,8.1,2.58,7162206,2292980250.9,501.8,301.6,35.75129533678757,-6.8965517241379155,-23.47,-4.46,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/RVNLEQN.svg,https://nsearchives.nseindia.com/30d/RVNL-EQ.svg,https://nsearchives.nseindia.com/365d/RVNL-EQ.svg,
BSE,,EQ,2741,2834,2740.3,2825.5,2760.2,65.3,2.37,5787981,16241479844.67,3030,1227.33,6.749174917491749,-130.21518255074022,-37.82,12.69,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BSEEQN.svg,https://nsearchives.nseindia.com/30d/BSE-EQ.svg,https://nsearchives.nseindia.com/365d/BSE-EQ.svg,
MARICO,,EQ,722,741.85,712.4,737.95,722,15.95,2.21,2572321,1871877991.7,759,577.85,2.7733860342555934,-27.706152115600936,24.73,1.79,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MARICOEQN.svg,https://nsearchives.nseindia.com/30d/MARICO-EQ.svg,https://nsearchives.nseindia.com/365d/MARICO-EQ.svg,
ETERNAL,,EQ,295,305.25,294.75,304.15,297.75,6.4,2.15,37378739,11252121801.17,368.45,194.8,17.451485954674993,-56.134496919917844,0.0,-12.68,,16-Oct-2025,https://nsearchives.nseindia.com/today/ETERNALEQN.svg,https://nsearchives.nseindia.com/30d/ETERNAL-EQ.svg,https://nsearchives.nseindia.com/365d/ETERNAL-EQ.svg,
CANBK,,EQ,143.88,146.38,143.36,146.19,143.45,2.74,1.91,26463777,3847039262.49,146.38,78.6,0.12979915288973748,-85.99236641221374,49.83,14.68,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/CANBKEQN.svg,https://nsearchives.nseindia.com/30d/CANBK-EQ.svg,https://nsearchives.nseindia.com/365d/CANBK-EQ.svg,
IIFL,,EQ,540,558,539.95,547.75,537.65,10.1,1.88,3473801,1915974941.55,559.75,279.8,2.1438142027690934,-95.76483202287348,29.65,9.48,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/IIFLEQN.svg,https://nsearchives.nseindia.com/30d/IIFL-EQ.svg,https://nsearchives.nseindia.com/365d/IIFL-EQ.svg,
MAZDOCK,,EQ,2732,2797,2727.9,2785,2736,49.0,1.79,1153814,3202156917.92,3775,1918.05,26.225165562913908,-45.19955162795548,-29.14,-1.76,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/MAZDOCKEQN.svg,https://nsearchives.nseindia.com/30d/MAZDOCK-EQ.svg,https://nsearchives.nseindia.com/365d/MAZDOCK-EQ.svg,
BEL,,EQ,418.8,428.7,418.7,426.5,419.8,6.7,1.6,14719899,6248302727.52,436,240.25,2.1788990825688073,-77.52341311134235,51.93,3.65,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/BELEQN.svg,https://nsearchives.nseindia.com/30d/BEL-EQ.svg,https://nsearchives.nseindia.com/365d/BEL-EQ.svg,
AXISBANK,,EQ,1224,1246,1222,1244.4,1225.2,19.2,1.57,5197740,6437556922.2,1276.1,933.5,2.4841313376694476,-33.30476700589181,8.85,3.79,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/AXISBANKEQN.svg,https://nsearchives.nseindia.com/30d/AXISBANK-EQ.svg,https://nsearchives.nseindia.com/365d/AXISBANK-EQ.svg,
AUROPHARMA,,EQ,1210.2,1231.9,1202.9,1229,1210.2,18.8,1.55,2055973,2507341312.42,1356.2,1010,9.37914761834538,-21.683168316831683,-2.12,10.5,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/AUROPHARMAEQN.svg,https://nsearchives.nseindia.com/30d/AUROPHARMA-EQ.svg,https://nsearchives.nseindia.com/365d/AUROPHARMA-EQ.svg,
TRENT,,EQ,4335,4399.9,4327,4392,4326.4,65.6,1.52,808967,3527702845.25,7493.05,4262.6,41.38568406723564,-3.0357059071927845,-32.06,-8.39,14-Nov-2024,16-Oct-2025,https://nsearchives.nseindia.com/today/TRENTEQN.svg,https://nsearchives.nseindia.com/30d/TRENT-EQ.svg,https://nsearchives.nseindia.com/365d/TRENT-EQ.svg,
